Name,Stars,CreatedAt,AgeInYears,Url,ReleasesCount,AvgCbo,AvgDit,AvgLcom,CkClassRows,TotalLoc,CommentLines
Tencent/QMUI_Android,14522,04/21/2017 10:03:18,8,https://github.com/Tencent/QMUI_Android.git,0,5.181988742964353,1.603189493433396,35.34240150093809,1066,76685,10364
alibaba/ARouter,14501,12/14/2016 01:27:49,9,https://github.com/alibaba/ARouter.git,0,3.704081632653061,1.4081632653061225,17.448979591836736,98,6226,1463
GoogleContainerTools/jib,14365,01/22/2018 18:30:43,8,https://github.com/GoogleContainerTools/jib.git,0,6.527738264580369,1.2219061166429588,17.139402560455192,703,86173,18972
languagetool-org/languagetool,14225,08/08/2013 16:37:22,12,https://github.com/languagetool-org/languagetool.git,0,5.276019824628288,1.5733892489515822,55.6374380480366,2623,315165,66045
deeplearning4j/deeplearning4j,14214,11/27/2013 02:03:28,12,https://github.com/deeplearning4j/deeplearning4j.git,0,8.357180431351921,2.1711379975451517,54474.45817990531,5703,1091377,206213
apache/dolphinscheduler,14202,03/01/2019 16:39:25,7,https://github.com/apache/dolphinscheduler.git,0,6.523443223443223,1.3626373626373627,9.888644688644689,2730,244216,58736
DuGuQiuBai/Java,14197,11/25/2015 07:30:08,10,https://github.com/DuGuQiuBai/Java.git,0,0.7665056360708534,1.173913043478261,1.0982286634460547,621,27928,7174
kekingcn/kkFileView,14026,12/12/2017 11:41:08,8,https://github.com/kekingcn/kkFileView.git,0,6.6826923076923075,1.0769230769230769,321.84615384615387,104,18137,2371
Netflix/zuul,13999,03/13/2013 18:53:57,13,https://github.com/Netflix/zuul.git,0,6.359615384615385,1.5653846153846154,24.998076923076923,520,45279,9425
janishar/mit-deep-learning-book-pdf,13969,04/07/2017 10:46:50,8,https://github.com/janishar/mit-deep-learning-book-pdf.git,0,0,1,0,1,3,0
apache/druid,13967,10/23/2012 19:08:07,13,https://github.com/apache/druid.git,0,7.84947670155323,1.3765748950069996,62.5178321445237,15001,1795373,268026
xpipe-io/xpipe,13917,01/27/2023 02:25:38,3,https://github.com/xpipe-io/xpipe.git,0,6.698918269230769,1.4813701923076923,19.90204326923077,1664,106176,1529
sqshq/piggymetrics,13882,03/29/2015 17:56:31,10,https://github.com/sqshq/piggymetrics.git,0,6.040404040404041,1.0606060606060606,3.8282828282828283,99,4483,178
orhanobut/logger,13879,03/20/2015 22:30:12,11,https://github.com/orhanobut/logger.git,0,5.833333333333333,1.1666666666666667,14.944444444444445,18,1315,271
pinpoint-apm/pinpoint,13816,10/20/2014 09:27:22,11,https://github.com/pinpoint-apm/pinpoint.git,0,5.222920958473382,1.1368318334598286,11.758104738154614,9223,566844,122672
lgvalle/Material-Animations,13797,03/08/2015 20:54:00,11,https://github.com/lgvalle/Material-Animations.git,0,4.4,1.4666666666666666,4.7555555555555555,45,1241,54
seaswalker/spring-analysis,13762,09/09/2016 07:46:32,9,https://github.com/seaswalker/spring-analysis.git,0,2.4242424242424243,1.2424242424242424,1.7878787878787878,33,856,130
JessYanCoding/AndroidAutoSize,13748,08/17/2018 09:04:19,7,https://github.com/JessYanCoding/AndroidAutoSize.git,0,5.408163265306122,1.4081632653061225,31.285714285714285,49,4586,2058
LuckSiege/PictureSelector,13595,01/04/2017 07:47:39,9,https://github.com/LuckSiege/PictureSelector.git,0,5.03527815468114,1.2225237449118047,49.44911804613297,737,54595,10930
tink-crypto/tink,13559,06/06/2014 16:21:09,11,https://github.com/tink-crypto/tink.git,0,7.182252559726963,1.2928327645051194,30.075767918088737,1465,195869,31982
